"asset_id","llc_name","portfolio","address","year_built","units_count","unit_number","bedroom_count"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","205","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","206","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","207","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","301","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","302","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","304","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","305","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","306","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","307","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","406","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","407","2"
"S0003","SREP SOUTHEND 2 LLC","South End Portf.","222-224 Maple Ave",,"6","1N","2"
"S0003","SREP SOUTHEND 2 LLC","South End Portf.","222-224 Maple Ave",,"6","1S","2"
"S0003","SREP SOUTHEND 2 LLC","South End Portf.","222-224 Maple Ave",,"6","2N","2"
"S0003","SREP SOUTHEND 2 LLC","South End Portf.","222-224 Maple Ave",,"6","2S","2"
"S0003","SREP SOUTHEND 2 LLC","South End Portf.","222-224 Maple Ave",,"6","3N","2"
"S0003","SREP SOUTHEND 2 LLC","South End Portf.","222-224 Maple Ave",,"6","3S","2"
,,,"228-230 Maple Ave",,,"1N","2"
,,,"228-230 Maple Ave",,,"2N","2"
,,,"228-230 Maple Ave",,,"2S","2"
,,,"228-230 Maple Ave",,,"3N","2"
,,,"228-230 Maple Ave",,,"3S","2"
"S0010","SREP Hartford 1 LLC","Hartford 1","228 Maple Ave",,"6",,
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","1A","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","1B","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","1C","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","1D","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","2A","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","2B","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","2C","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","2D","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","2E","2"
"S0041","SREP PARK 12 LLC","Park Portfolio","23-31 Squire St",,"10","2F","2"
"S0009","SREP SOUTHEND LLC","South End Portf.","236 Maple Ave",,"0",,
"S0020","SREP Park 1 LLC","Park Portfolio","31-33 Park St",,"7","Retail 1","2"
"S0007","SREP SOUTHEND 3 LLC","South End Portf.","36 Whitmore Street",,"6","1E","2"
"S0007","SREP SOUTHEND 3 LLC","South End Portf.","36 Whitmore Street",,"6","1W","2"
"S0007","SREP SOUTHEND 3 LLC","South End Portf.","36 Whitmore Street",,"6","2E","2"
"S0007","SREP SOUTHEND 3 LLC","South End Portf.","36 Whitmore Street",,"6","2W","2"
"S0007","SREP SOUTHEND 3 LLC","South End Portf.","36 Whitmore Street",,"6","3E","2"
"S0007","SREP SOUTHEND 3 LLC","South End Portf.","36 Whitmore Street",,"6","3W","2"
"S0008","SREP SOUTHEND 3 LLC","South End Portf.","38-40 Whitmore Street",,"6","1E","2"
"S0008","SREP SOUTHEND 3 LLC","South End Portf.","38-40 Whitmore Street",,"6","1W","2"
"S0008","SREP SOUTHEND 3 LLC","South End Portf.","38-40 Whitmore Street",,"6","2E","2"
"S0008","SREP SOUTHEND 3 LLC","South End Portf.","38-40 Whitmore Street",,"6","2W","2"
"S0008","SREP SOUTHEND 3 LLC","South End Portf.","38-40 Whitmore Street",,"6","3E","2"
"S0008","SREP SOUTHEND 3 LLC","South End Portf.","38-40 Whitmore Street",,"6","3W","2"
"S0004","SREP SOUTHEND 2 LLC","South End Portf.","43-45 Franklin Ave",,"6","1N","2"
"S0004","SREP SOUTHEND 2 LLC","South End Portf.","43-45 Franklin Ave",,"6","1S","2"
"S0004","SREP SOUTHEND 2 LLC","South End Portf.","43-45 Franklin Ave",,"6","2N","2"
"S0004","SREP SOUTHEND 2 LLC","South End Portf.","43-45 Franklin Ave",,"6","2S","2"
"S0004","SREP SOUTHEND 2 LLC","South End Portf.","43-45 Franklin Ave",,"6","3N","2"
"S0004","SREP SOUTHEND 2 LLC","South End Portf.","43-45 Franklin Ave",,"6","3S","2"
"S0005","SREP SOUTHEND 2 LLC","South End Portf.","47 Franklin Ave",,"4","1","2"
"S0005","SREP SOUTHEND 2 LLC","South End Portf.","47 Franklin Ave",,"4","2","2"
"S0005","SREP SOUTHEND 2 LLC","South End Portf.","47 Franklin Ave",,"4","3","2"
"S0005","SREP SOUTHEND 2 LLC","South End Portf.","47 Franklin Ave",,"4","4","2"
,,,"57-59 Park St",,,"2W","2"
,,,"57-59 Park St",,,"COM 57 Park","2"
"S0023","SREP Park 4 LLC","Park Portfolio","57 Park St",,"3",,
